****************************************
Report : power
        -cell
        -analysis_effort low
        -sort_mode cell_internal_power
Design : sipisoAluControl_generic
Version: Z-2007.03-SP1
Date   : Mon Apr 25 12:46:27 2016
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mariagrazia.graziano/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
sipisoAluControl_generic
                       5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      h  -  Hierarchical cell

                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
U169                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U170                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U171                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U172                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U173                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U174                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U175                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U176                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U177                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U178                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U179                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U180                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U181                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U182                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U183                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U184                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U185                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U186                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U187                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U188                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U189                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U190                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U191                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U192                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U193                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U194                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U195                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U196                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U197                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U198                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U199                       0.0641    0.0169   8.10e-02 (79%)     22.9975   
U477                       0.0626    0.1539      0.216 (29%)     18.1376   
U485                       0.0593    0.3930      0.452 (13%)     18.0795   
U166                       0.0590    2.2826      2.342 (3%)      18.1376   
U237                       0.0590    0.0169   7.58e-02 (78%)     20.9348   
U437                       0.0571    0.1311      0.188 (30%)     10.5574   
U424                       0.0563    0.0109   6.72e-02 (84%)     18.1030   
U440                       0.0539    0.2073      0.261 (21%)     10.5231   
U427                       0.0523    0.0179   7.02e-02 (74%)     73.7695   
U429                       0.0402    0.0237   6.40e-02 (63%)      3.8055   
U473                       0.0289 8.406e-03   3.74e-02 (77%)     20.9263   
